event_id,landslide_trigger,admin_division_name,fatality_count,longitude,latitude,event_date
1189,downpour,Artvin,3,41.6822,41.3639,2009-09-23
5112,downpour,Hatay,5,36.4354,36.7619,2013-07-16
7775,downpour,Artvin,3,41.4323,41.3936,2015-08-24
783,downpour,Siirt,3,41.5061,37.9472,2008-09-09
8891,downpour,Trabzon,1,39.9081,40.8167,2016-07-07
1152,downpour,Istanbul,0,28.9759,41.0124,2009-09-09
4770,rain,Hakkâri,0,43.6143,37.2506,2013-03-07
1321,rain,Trabzon,2,39.7365,40.9792,2009-11-21
4736,rain,Diyarbakır,7,40.2306,37.9152,2013-01-27
821,downpour,Sakarya,0,30.458,40.69,2008-09-28
1320,rain,Gümüşhane,2,39.5272,40.5459,2009-11-21
9558,downpour,Istanbul,0,28.7701,41.0863,2016-09-27
8943,rain,Artvin,2,41.68,41.3596,2015-11-12
2342,downpour,Rize,12,40.6167,41.0524,2010-08-26
6652,unknown,Erzurum,0,41.2522,39.8925,2014-07-22
6169,rain,Muğla,1,29.408,36.4676,2014-07-21
3350,downpour,Erzurum,2,41.2679,39.9043,2011-04-10
7661,unknown,Zonguldak,1,31.7365,41.4189,2015-08-11
83,rain,Van,0,43.3948,38.5035,2007-05-28
7776,downpour,Artvin,5,41.4709,41.3917,2015-08-24
8942,rain,Artvin,1,41.8196,41.1795,2015-11-11
